City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hawaiian paradise park,19.5933,-154.9731,27.63,67,40,6.69,US,1746064307
1,adamstown,-25.066,-130.1015,24.42,76,51,3.9,PN,1746064308
2,nova sintra,14.8667,-24.7167,21.33,82,4,11.44,CV,1746064309
3,laconia,43.5279,-71.4704,8.97,52,100,2.03,US,1746064310
4,edinburgh of the seven seas,-37.0676,-12.3116,17.66,93,100,14.72,SH,1746064312
5,ilulissat,69.2167,-51.1,0.01,74,100,2.06,GL,1746064313
6,castillos,-34.1667,-53.8333,10.45,91,45,1.77,UY,1746064315
7,adrian,41.8975,-84.0372,10.88,70,100,1.34,US,1746064027
8,jamaame,0.0697,42.745,25.68,84,100,2.4,SO,1746064317
9,blackmans bay,-43.0167,147.3167,12.07,65,1,0.45,AU,1746064318
10,fale old settlement,-9.3852,-171.2468,28.95,68,62,1.62,TK,1746064319
11,invercargill,-46.4,168.35,10.01,73,100,0.89,NZ,1746064320
12,la ronge,55.1001,-105.2842,5.14,93,100,4.12,CA,1746064321
13,tadine,-21.55,167.8833,25.93,61,30,4.09,NC,1746064322
14,grytviken,-54.2811,-36.5092,2.17,78,100,4.59,GS,1746064323
15,northam,51.0333,-4.2167,10.04,74,0,2.83,GB,1746064324
16,coxim,-18.5067,-54.76,19.7,61,0,1.97,BR,1746064325
17,ushuaia,-54.8,-68.3,8.81,66,0,1.54,AR,1746064232
18,la libertad,-2.2333,-80.9,23.33,81,21,3.62,EC,1746064327
19,quellon,-43.1167,-73.6167,9.99,87,98,8.67,CL,1746064328
20,wamba,8.9333,8.6,24.36,80,100,0.7,NG,1746064329
21,vorgashor,67.5833,63.95,-14.44,100,100,2.55,RU,1746064331
22,ribeira grande,38.5167,-28.7,15.99,84,100,6.71,PT,1746064332
23,kyzyl-suu,42.3414,78.0056,16.23,39,36,0.45,KG,1746064333
24,yellowknife,62.456,-114.3525,-3.1,60,20,3.6,CA,1746064334
25,barah,13.7,30.3667,26.01,9,14,3.92,SD,1746064335
26,al jawf,29.5,38.75,22.77,20,0,6.07,SA,1746064336
27,pierre,44.3683,-100.351,15.51,67,100,9.26,US,1746064150
28,hermanus,-34.4187,19.2345,14.33,72,23,8.03,ZA,1746064204
29,kalmunai,7.4167,81.8167,26.0,82,100,4.24,LK,1746064339
30,bredasdorp,-34.5322,20.0403,12.96,65,5,6.64,ZA,1746064340
31,west island,-12.1568,96.8225,27.99,89,40,5.66,CC,1746064341
32,redencao,-4.2258,-38.7306,22.83,92,39,0.93,BR,1746064342
33,phillip island,-38.4835,145.231,16.75,66,82,3.29,AU,1746064344
34,ta`u,-14.2336,-169.5144,28.4,79,29,5.5,AS,1746064345
35,bethel,41.3712,-73.414,13.55,50,54,1.72,US,1746064346
36,huarmey,-10.0681,-78.1522,20.33,83,99,4.01,PE,1746064349
37,kievka,50.2619,71.5514,6.74,46,22,3.54,KZ,1746064350
38,sao vicente,-23.9631,-46.3919,21.1,26,22,1.1,BR,1746064351
39,albany,42.6001,-73.9662,11.36,56,47,2.31,US,1746063781
40,waitangi,-43.9535,-176.5597,16.14,93,100,10.69,NZ,1746064353
41,carora,10.1755,-70.0827,23.55,86,100,0.82,VE,1746064354
42,georgetown,5.4112,100.3354,29.97,82,20,3.13,MY,1746064217
43,jayapura,-2.5333,140.7,30.66,61,99,1.64,ID,1746064356
44,colonia menno,-22.3667,-59.8167,17.49,70,0,3.7,PY,1746064357
45,olonkinbyen,70.9221,-8.7187,-0.42,87,43,5.23,SJ,1746064358
46,port alfred,-33.5906,26.891,13.99,84,72,2.24,ZA,1746064360
47,avarua,-21.2078,-159.775,28.03,65,20,5.66,CK,1746064361
48,puerto ayora,-0.7393,-90.3518,24.13,89,64,2.78,EC,1746064362
49,rikaze,29.25,88.8833,6.64,43,100,4.18,CN,1746064363
50,stanley,54.868,-1.6985,11.39,88,7,1.03,GB,1746064364
51,remire-montjoly,4.9167,-52.2667,26.02,94,75,1.03,GF,1746064365
52,priladozhskiy,59.85,31.4833,-0.82,99,2,2.27,RU,1746064366
53,polyarnyy,69.1989,33.4478,0.19,86,100,10.67,RU,1746064367
54,cape town,-33.9258,18.4232,14.21,81,0,5.14,ZA,1746064301
55,talnakh,69.4865,88.3972,-9.37,91,98,3.84,RU,1746064369
56,belyy yar,53.6039,91.3903,4.94,65,0,0.0,RU,1746064370
57,ji'an,27.1172,114.9793,25.36,73,99,2.43,CN,1746064371
58,chui,-33.6971,-53.4616,11.95,91,65,2.09,UY,1746064372
59,villa gesell,-37.2639,-56.973,14.43,77,34,4.34,AR,1746064141
60,kodiak,57.79,-152.4072,6.73,93,100,5.14,US,1746064213
61,leer,53.2316,7.461,11.08,92,100,2.68,DE,1746064376
62,tucuma,-0.1833,-50.05,24.85,92,100,2.46,BR,1746064377
63,kilindoni,-7.9139,39.6668,26.3,82,58,4.34,TZ,1746064378
64,port-aux-francais,-49.35,70.2167,4.6,75,18,15.07,TF,1746064379
65,sinabang,2.4803,96.3801,28.51,74,100,1.07,ID,1746064380
66,vila franca do campo,37.7167,-25.4333,15.23,91,100,6.08,PT,1746064381
67,sosnogorsk,63.6023,53.8817,-9.07,95,62,1.9,RU,1746064382
68,enewetak,11.3474,162.3373,27.66,75,22,8.16,MH,1746064383
69,lata,40.1629,-8.3327,7.5,95,3,1.73,PT,1746064384
70,lushoto,-4.7833,38.2833,14.1,95,51,1.11,TZ,1746064385
71,mandal,25.45,74.5667,30.11,24,0,3.44,IN,1746064386
72,aasiaat,68.7098,-52.8699,-4.1,88,100,2.27,GL,1746064118
73,lebu,-37.6167,-73.65,12.29,93,100,5.74,CL,1746064388
74,oral,51.2333,51.3667,9.99,53,0,5.0,KZ,1746064390
75,bekobod,40.2208,69.2697,17.85,47,29,3.36,UZ,1746064392
76,camocim,-2.9022,-40.8411,24.68,90,43,3.96,BR,1746064280
77,tsiombe,-25.3,45.4833,19.9,79,6,2.63,MG,1746064394
78,atafu village,-8.5421,-172.5159,28.91,69,40,2.15,TK,1746064395
79,puerto real,36.5282,-6.1901,12.36,94,0,1.54,ES,1746064397
80,gunnedah,-30.9833,150.25,18.04,55,26,8.0,AU,1746064398
81,happy valley-goose bay,53.3168,-60.3315,-1.83,93,100,7.72,CA,1746064399
82,tiksi,71.6872,128.8694,-8.46,91,98,3.0,RU,1746064280
83,hamilton,39.1834,-84.5333,21.97,84,99,0.45,US,1746064131
84,fort saskatchewan,53.7168,-113.2187,14.56,28,75,9.83,CA,1746064402
85,nuuk,64.1835,-51.7216,-2.66,100,100,4.12,GL,1746064338
86,antsiranana,-12.2787,49.2917,24.73,87,7,5.06,MG,1746064404
87,greymouth,-42.4667,171.2,11.57,62,100,2.65,NZ,1746064405
88,bathsheba,13.2167,-59.5167,27.34,78,20,6.17,BB,1746064407
89,arkhangel'sk,64.5401,40.5433,-4.94,93,0,2.0,RU,1746064408
90,namsos,64.4662,11.4957,3.95,100,100,0.0,NO,1746064409
91,qaqortoq,60.7167,-46.0333,0.41,99,100,3.27,GL,1746064410
92,utrik,11.2278,169.8474,27.25,77,87,6.08,MH,1746064411
93,uzgen,40.7699,73.3007,17.59,68,100,0.12,KG,1746064412
94,villa ojo de agua,-29.5,-63.6938,15.53,48,16,4.32,AR,1746064413
95,punta arenas,-53.15,-70.9167,5.06,93,0,3.09,CL,1746064414
96,ust-nera,64.5667,143.2,0.01,77,100,1.19,RU,1746064416
97,boguchany,58.3814,97.4531,3.55,63,16,4.35,RU,1746064418
98,cambria,35.5641,-121.0808,11.7,90,85,0.45,US,1746064164
99,rio grande,-32.035,-52.0986,15.35,76,6,1.91,BR,1746064420
100,vimmerby,57.6659,15.8552,4.14,79,30,2.16,SE,1746064421
101,bugojno,44.0572,17.4508,7.98,91,18,0.58,BA,1746064282
102,chimore,-16.9833,-65.1333,25.46,80,65,0.55,BO,1746064423
103,port-vila,-17.7338,168.3219,29.78,74,40,2.57,VU,1746064424
104,la mira,18.035,-102.3266,25.62,71,0,3.09,MX,1746064425
105,port mathurin,-19.6833,63.4167,25.71,65,90,11.1,MU,1746064426
106,griffith,41.5284,-87.4237,13.34,73,100,2.06,US,1746064427
107,moissala,8.3404,17.7663,27.47,50,100,2.0,TD,1746064428
108,puerto natales,-51.7236,-72.4875,5.62,88,90,0.3,CL,1746064429
109,muynoq,43.7683,59.0214,12.75,52,5,1.95,UZ,1746064430
110,khalabat,34.06,72.8894,28.41,24,13,2.23,PK,1746064431
111,dadhar,29.4753,67.6514,34.88,12,35,2.04,PK,1746064432
112,mirny,62.5353,113.9611,3.34,92,91,4.48,RU,1746064433
113,nogliki,51.8333,143.1667,3.32,89,95,4.14,RU,1746064434
114,ad dabbah,18.05,30.95,26.68,14,3,4.07,SD,1746064437
115,longyearbyen,78.2186,15.6401,-3.09,74,75,9.77,SJ,1746064438
116,tolanaro,-25.0319,46.9987,22.79,87,30,5.98,MG,1746064439
117,udachny,66.4167,112.4,1.9,97,94,3.62,RU,1746064440
118,mount isa,-20.7333,139.5,23.87,41,2,7.2,AU,1746064441
119,strathfieldsaye,-36.8,144.3667,15.58,50,0,2.32,AU,1746064442
120,carnarvon,-24.8667,113.6333,28.13,31,0,6.93,AU,1746064443
121,petrolina,-9.3986,-40.5008,30.03,54,0,4.63,BR,1746064444
122,banda aceh,5.5577,95.3222,28.37,75,75,2.6,ID,1746064240
123,papatowai,-46.5619,169.4708,8.86,73,100,3.17,NZ,1746064446
124,upington,-28.4478,21.2561,8.21,81,0,3.09,ZA,1746064447
125,hithadhoo,-0.6,73.0833,28.69,70,100,2.23,MV,1746064448
126,fisterra,42.9049,-9.2629,13.18,82,40,5.09,ES,1746064450
127,margaret river,-33.95,115.0667,22.68,56,94,6.69,AU,1746064451
128,tazovsky,67.4667,78.7,-7.91,93,100,2.75,RU,1746064452
129,flying fish cove,-10.4217,105.6791,28.82,69,9,6.69,CX,1746064453
130,dunedin,-45.8742,170.5036,8.96,79,100,6.41,NZ,1746064225
131,kingston,17.997,-76.7936,27.53,69,20,5.66,JM,1746063842
132,taksimo,56.3444,114.8794,7.81,48,72,2.18,RU,1746064456
133,tianshui,34.5439,105.6897,22.88,29,0,1.14,CN,1746064457
134,basco,20.4487,121.9702,27.18,82,5,5.74,PH,1746064458
135,touros,-5.1989,-35.4608,25.73,77,2,4.28,BR,1746064459
136,praia da vitoria,38.7333,-27.0667,15.14,82,75,6.86,PT,1746064460
137,zhaqsy,51.9083,67.3133,7.29,46,39,3.98,KZ,1746064461
138,whitehorse,60.7161,-135.0538,9.43,43,75,9.77,CA,1746064293
139,gewane,10.1664,40.6453,26.28,58,87,3.18,ET,1746064464
140,santiago de cao,-7.9589,-79.2392,13.07,88,41,3.6,PE,1746064465
141,cockburn town,21.4612,-71.1419,24.71,72,49,8.02,TC,1746064466
142,savelugu,9.6244,-0.8253,26.18,70,98,3.19,GH,1746064467
143,baruun-urt,46.6806,113.2792,7.26,50,100,4.75,MN,1746064468
144,susuman,62.7833,148.1667,-2.35,76,98,1.21,RU,1746064469
145,iqaluit,63.7506,-68.5145,-7.15,73,100,10.8,CA,1746064470
146,adh dhibiyah,24.5014,45.9686,26.3,21,4,4.0,SA,1746064471
147,freetown,8.484,-13.2299,25.35,88,100,3.25,SL,1746064218
148,alofi,-19.0595,-169.9187,29.94,66,40,4.12,NU,1746064473
149,pointe aux piments,-20.0628,57.5131,25.85,74,94,9.61,MU,1746064474
150,crane,31.3974,-102.3501,24.29,11,0,4.44,US,1746064475
151,iskateley,67.6803,53.1512,-9.08,89,73,5.24,RU,1746064477
152,bijapur,16.8333,75.7,30.66,28,1,3.8,IN,1746064478
